Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,1866,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"730,814,000",
SURVEY,1867,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"793,905,000",
SURVEY,1868,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"919,590,000",
SURVEY,1869,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"782,084,000",
SURVEY,1870,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,124,775,000",
SURVEY,1871,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,141,715,000",
SURVEY,1872,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,279,369,000",
SURVEY,1873,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,008,326,000",
SURVEY,1874,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,058,778,000",
SURVEY,1875,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,450,276,000",
SURVEY,1876,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,478,173,000",
SURVEY,1877,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,515,862,000",
SURVEY,1878,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,564,537,000",
SURVEY,1879,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,751,984,000",
SURVEY,1880,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,706,673,000",
SURVEY,1881,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,244,803,000",
SURVEY,1882,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,755,272,000",
SURVEY,1883,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,652,148,000",
SURVEY,1884,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,947,838,000",
SURVEY,1885,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,057,807,000",
SURVEY,1886,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,782,767,000",
SURVEY,1887,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,604,549,000",
SURVEY,1888,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,250,632,000",
SURVEY,1889,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,294,289,000",
SURVEY,1890,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,650,446,000",
SURVEY,1891,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"2,335,804,000",
SURVEY,1892,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,897,412,000",
SURVEY,1893,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,900,401,000",
SURVEY,1894,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"1,615,016,000",
